title,num_comments,link,text,comments,toxicity,fem,masc
В Ташкенте упавшее из-за непогоды дерево повредило сразу 6 автомобилей,5,https://uznews.uz/posts/54321,"По данным пресс-службы МЧС, инцидент произошел сегодня, 18 марта, примерно в 07:22 часов, в Учтепинском районе столицы. На место происшествия прибыла одна спасательная бригада. В результате падения дерева было повреждено 6 автомобилей: Kia, Gentra, Nexia-3, Damas, Cobalt и «Нива». В настоящее время сотрудники соответствующих организаций устраняют последствия повреждений. В результате инцидента никто не пострадал. В МЧС ещё раз призвали жителей не оставлять автомобили под деревьями во время сильного ветра и дождя. ","['И все хотели бы посмотреть на придавленную деревом KIA😄', 'Дерево чьё? Наверное государственное...а ремонт авто тогда за чей счёт?', 'А куда ставить машины? Мест та нету! Сказать легко а вот сделать стоянки фиг вам...']","[0.99515074, 0.004849314]",0,0
В Ташкенте 63-летний водитель «Волги» врезался в столб на обочине дороги и погиб,12,https://uznews.uz/posts/54290,"17 марта, примерно в 04:00 часов, на пересечении улиц Х.Байкаро и Бектемир в Бектемирском районе произошло смертельное ДТП. Об этом сообщает пресс-служба столичного ГУВД. Водитель ГАЗ 2410 А.Р., 1959 г.р., потерял управление и столкнулся с металлическим столбом на обочине дороги. В результате ДТП водитель скончался на месте происшествия, получив телесные повреждения, несовместимые с жизнью. По данному факту Следственным управлением ГУВД Ташкента возбуждено уголовное дело в соответствии с ч. 2 статьи 266 УК РУз (Нарушение правил безопасности движения или эксплуатации транспортных средств, повлекшее смерть человека), ведётся следствие. ","['Кардиобольным лучше не сесть за руль. Ладно если сам один умрет как этот покойный водитель Волги, а то может с собой забрать на иной мир несколько !!! безвинных людей. Вот о чём они должны думать, прежде чем садится за руль.', 'Здравствуйте! Информация не соответствует правде!!! Наш папа уже был в отключки перед столкновением с металлическим столбом. По причине остановки сердца он уже был не в состоянии управлять транспортным средством. Связи с тем машина выехала за пределы дороги и врезалась в столб. Это информация достоверна и есть все факты. Почему не операясь на факты вы пишите не правду.', 'Салон не пострадал. Всего-то следовало пристегнуться. Но нам проще умереть, чем ремень перекинуть...', 'Это конструкция Волги такая. Современные иномарки при столкновении гасят удар всем своим кузовом и поэтому так сильно мнутся чтобы у пассажира было больше шансов выжить. Ну а в Волге все наоборот, кузов максимально жёсткий, а в салоне фарш.', '...Ford это, старый, американский, не Волга, примерно также как и камаз это старый американский грузовик International или Жигули, старый ослик итальянских полицейских...', 'Видимо умер еще до аварии, сделал все, что смог...']","[0.60202616, 0.3979738]",0,1
В Ташкенте автомобиль упал в канал Салар — видео,4,https://uznews.uz/posts/54247,"По информации ГУБДД МВД, 16 марта в 14:00 на ул. Амира Темура в Мирабадском районе Ташкента автомобиль Cobalt упал в канал. Выяснилось, что водитель А.А. оставил автомобиль на стоянке возле банка. Позже Cobalt, который стоял под уклоном, съехал в канал Салар. В результате инцидента никто не пострадал, машину вытащили из канала. Сотрудниками ДПС проводится дознание. ","['а ручник для чего?', 'Хозяин видимо сам таковой.']","[0.9929279, 0.0070721284]",0,0
В Сырдарье подтопило свыше 100 домов: часть граждан переехала к родственникам — видео,1,https://uznews.uz/posts/54246,"Обильные и продолжительные осадки подняли уровень воды в межхозяйственном коллекторе, протекающем по территории города Бахт, что привело к подтоплению как сельскохозяйственных угодий, так и ряда махаллей. Об этом сообщает пресс-служба МЧС. Сообщается, что подтопленными оказались свыше 100 домов. В целях ликвидации последствий чрезвычайной ситуации в городе Бахт создан оперативный штаб, сформированы 3 рабочие группы, состоящие из сотрудников хокимията района, сотрудников УЧС, ОВД и представителей махалли. Жильцам подтопленных домов раздали предупреждающие письма о переселении в безопасные районы. Сообщается, что 68 граждан временно переехали к родственникам. На местах организованы медицинские и другие мероприятия по обеспечению безопасного перемещения граждан.  «Для ликвидации последствий наводнения привлечены силы и средства областного управления по чрезвычайным ситуациям, служба автомобильных дорог, областных структур Министерства водного хозяйства. Также на место происшествия прибыли спасатели из республиканского спасательного центра по выполнению специальных задач под руководством министра по чрезвычайным ситуациям», - говорится в сообщении. В город Бахт мобилизованы сотрудники правоохранительных органов из Джизакской и Ташкентской областей. ","['В Гулистане многие жильцы не могут выйти из домов, в некоторых местах уровень воды до 30 см перед подьездами, хоть на лодке плыви']","[0.99611616, 0.003883781]",0,2
Из-за густого тумана была ограничена работа международного аэропорта Ташкента,0,https://uznews.uz/posts/54243,"Сегодня, 16 марта, из-за плохой видимости некоторые самолеты не смогли вылететь и приземлиться в аэропорту столицы. Несколько местных и международных рейсов были отложены и перенесены в другие аэропорты, сообщает пресс-служба Uzbekistan Airports. В частности, из-за густого тумана в аэропорту Ташкента (видимость около 150 метров) самолет авиакомпании Turkish Airlines рейса THY-368, следовавший из Стамбула в Ташкент с 259 пассажирами на борту, не смог приземлиться в аэропорту назначения и ушел в 08:45 на запасной аэродром в Бишкек. Еще один рейс MSC-771 египетской авиакомпании Air Cairo по маршруту Шарм Эль-Шейх – Ташкент из-за плохой видимости (200 метров) ушел на запасной аэродром «Навои». Самолет со 172 пассажирами на борту приземлился в 09:35 часов в аэропорту Навои. В 10:14 часов ограничения были сняты, видимость к этому часу составляла около 2000 метров. Самолет авиакомпании Turkish Airlines рейса THY-368 приземлился в Ташкенте в 11:47, борт авиакомпании Air Cairo – в 12:07. ",[],"[0.0, 0.0]",0,0
В ДТП с участием KIA и Nexia погибли 8 человек — видео,7,https://uznews.uz/posts/54186,"13 марта, примерно в 14:50, на 2-м километре дороги Даштабад – Заамин – Супа – Бахмал - Галляарал, проходящей по территории города Даштабад Зааминского района Джизакской области произошло смертельное ДТП. Столкнулись два легковых автомобиля: KIA и Nexia. Об этом сообщает пресс-служба УВД Джизакской области. В результате ДТП 2 человека скончались на месте происшествия. Еще 6 пассажиров скончались в больнице, несмотря на оказанную им медицинскую помощь. Сообщается, что водитель KIA находится в реанимационном отделении Зааминского районного медицинского объединения. По данному факту возбуждено уголовное дело по пункту «а» части 3 статьи 266 Уголовного кодекса (Нарушение правил безопасности движения или эксплуатации транспортных средств, повлекшее человеческие жертвы). Ведется следствие. ","['На такой скорости и лобовое столкновение, там уже не важно кто производитель авто.', 'Ни дороги ни машины не умеют делать наши клоуны', 'Видео видео оказываетс киа потерял управления у него столько электронных помощников...водитель перестарался', 'Посмотрите на корейца и на наш автоговнопром,-- разница очевидна. Ещё придурки в очередях стоят за этим хламом.', 'А кто отвечать та будет если все погибли. 🥺', 'Не надо покупать дешёвые авто...кто то знает какой из наших авто соответствует по краш тесту', 'KIA и Nexia? Звучит как Apple и Galaxy S22']","[0.794818, 0.20518196]",0,1
"В Узбекистане ощущалось землетрясение магнитудой 4,7",9,https://uznews.uz/posts/54164,"По данным Республиканского центра Сейсмопрогностического мониторинга МЧС, 14 марта в 11:29 часов по ташкентскому времени в Таджикистане произошло землетрясение. Магнитуда М=4,7, глубина – 15 км. Расстояние от эпицентра до Ташкента 126 км в юго-восточном направлении. Сила подземных толчков на территории Ташкента и Ташкентской области составила 2 балла. ","['глубина – 15 км на такой глубине мрамор становится мягким как живачка у вас во рту.', 'Это китайцы осваивают свои подземные сокровища земли, купленной в Таджикистане, за его долги, уворованные забугорными олигархами. Если бы Бухарский эмир послушал бы когда то своего начальника артиллерии, русского Саклаба, и не зажал бы 60 миллионов золотых тилля, на покупку английских пушек, земля Бухарского эмирата была бы дома.', 'Таджикистан это часть Бухарского эмирата, временно раздробленного московскими лицами финансовой национальности. Но всему свое время.', 'Эк, как тебя перекосило..']","[0.70513934, 0.2948606]",0,0
В Ташкенте водитель Lacetti сбил 60-летнего пешехода,4,https://uznews.uz/posts/54145,"11 марта, примерно в 23:00, на улице С.Азимова в Яшнабадском районе произошло ДТП. 39-летний водитель Lacetti сбил 60-летнего пешехода, переходившего дорогу в неположенном месте. Об этом сообщает пресс-служба ГУВД города Ташкента. Пешехода госпитализировали, но, несмотря на оказанную медицинскую помощь, 12 марта, примерно в 02:40, пострадавший скончался. По данному факту возбуждено уголовное дело в соответствии с частью 2 статьи 266 УК (Нарушение правил безопасности движения или эксплуатации транспортных средств, повлекшее смерть человека). Ведётся следствие. ","['Меня зимой тоже сбила легковушка, до сих пор хромаю, собравшихся водителей слушал долго, радовался и учился изворотливости речей водителей, собравшихся вокруг, каждый молчал о том, что все было на пешеходном переходе, понимал, что водитель меня просто не видел, но возится с ними было некогда, были дела поважнее, да и прыгнуть инстинктивно вверх, на капот, повезло) Такова жизнь)', 'Против кого возбуждено дело? В данном случае против пешехода?', 'Переходил дорогу в неположенном месте, ночью, в дождь…Видимость плохая, плюс фары слепят не только пешеходов, но и водителей.']","[0.9950757, 0.004924276]",0,2
В Ташкенте подозреваемый в употреблении наркотиков попытался убежать от сотрудников ППС — видео,1,https://uznews.uz/posts/54141,"В социальных сетях распространилась видеозапись, на которой запечатлен момент задержания гражданина, пытавшегося убежать от сотрудников ОВД. Как сообщили в пресс-службе столичного ГУВД, инцидент произошел 10 марта, примерно в 22:00, на обочине дороги по улице Нурафшон Шайхантахурского района Ташкента. Сотрудники ППС заметили автомобиль Matiz, внутри которого находились двое граждан, чье поведение показалось им подозрительным. При осмотре автомобиля в присутствии понятых сотрудники ППС обнаружили специальные ёмкости для употребления наркотиков.  «Осознав свою вину, пассажир автомобиля А.С., 1993 г.р., не подчинился законным требованиям сотрудников ППС, вышел из автомобиля и начал убегать по проезжей части, тем самым создавая помеху для движения автомобилей», — говорится в сообщении. В результате принятых мер гражданин А.С. и водитель автомобиля М.М., 1997 г.р., были задержаны и доставлены в отдел внутренних дел. По данному факту ведётся доследственная проверка. ","['Не дали торчкам оттопыриться, кайфоломы.']","[0.004847624, 0.99515235]",0,2
Синоптики предупредили о возможных сходах селей в 9 регионах Узбекистана,0,https://uznews.uz/posts/54101,"По данным Узгидромета, в связи с ожидаемыми сильными дождями с 11 по 15 марта по предгорным и горным районам республики возможны сходы селей. Селеопасность сохранится в следующих регионах: Ташкентская область: по Ахангаранскому, Бостанлыкскому, Паркентскому, Юкоричирчикскому, Пскентскому районам; Кашкадарьинская область: по Яккабаггскому, Дехканабадскому, Чиракчинскому, Китабскому, Шахрисабзкому, Камашинскому, Гузарскому, Касанскому районам; Сурхандарьинская область: по Сарыасийскому, Узунскому, Алтынсайскому, Денаускому, Байсунскому, Шерабадскому, Шурчинскому, Кумкурганскому районам; Самаркандская область: по Ургутскому, Самаркандскому, Булунгурскому, Нурабадскому, Кошрабадскому, Каттакурганскому районам; Навоийская область: по Хатырчинскому, Навбахорскому, Нуратинскому, Канимехскому, Карманинскому районам; Джизакская область: по Зааминскому, Бахмальскому, Галляаральскому, Шараф-Рашидовскому, Фаришскому, Янгиабадскому, Зафарабдскому районам; Наманганская область: по Папскому, Касансайскому, Чартакскому, Чустскому, Наманганскому, Янгикурганскому районам; Ферганская область: по Сохскому, Ферганскому, Бешарыкскому районам; Андижанская область: по Андижанскому, Джалакудукскому, Кургантепинскому, Пахтаабадскому, Улугнорскому районам. Граждан, проживающих в предгорных и горных районах, отдыхающих и водителей, выезжающих в горные районы, призвали соблюдать меры предосторожности. ",[],"[0.0, 0.0]",0,0
В Ташкенте автобус сбил 70-летнего гражданина и 5-летнего ребёнка,9,https://uznews.uz/posts/54066,"8 марта, примерно в 11.30, в Чиланзарском районе, произошло смертельное ДТП. 26-летний водитель автобуса сбил пешеходов на регулируемом пешеходном переходе. Об этом сообщает УБДД города Ташкента. В результате наезда 70-летний гражданин скончался от полученных травм. 5-летний ребенок госпитализирован с травмами в области головы. По данному факту возбуждено уголовное дело по части 2 статьи 266 УК (Нарушение правил безопасности движения или эксплуатации транспортных средств, повлекшее смерть человека). ","['Во всём виноваты укропы, со своей псячей мовой!', 'Во всём виноват Чубайс...', 'Ваш информатор, гонит дезу! Укрофашисткие хари виноваты во всём! Смiрть им , собакам!', 'Вы посмотрите что творится вокруг и везде, такое ощущение что кто то или что то нарошно убивает страну, везде бардак, коррупция, продажность, такого хаоса ещё не было со времён распада. Оболочка красивая, а начинка тухлая.', 'Это уже второй случай на Чиланзаре, 8 марта женщину с ребенком сбили, я не пойму там австралопитеки за рулём автобусов сидят?', 'До 35лет, у всех права и тарантасы отобрать! Строжайший экзамен! Понарожали дебилов! Мать твою втридёшево!', 'Максимальное наказания нужно дать этому барану. Торопятся постоянно о рисках жизни людей на дорогах не думают.', 'Люди постоянно жалуются что водители автобусов осуществляют небезопасную езду, устраивают гонки между, а порой и вовсе не смотрят на дорогу пользуясь телефонном во время езды']","[0.3917427, 0.6082573]",0,2
