,title,num_comments,link,text,comments,toxicity,fem,masc,eng_title,eng_comments
10,По всей республике назначены заместители хокимов – начальники управлений по вопросам семьи и женщин,5,https://uznews.uz/posts/54100," Умарова Нодира Нигматуллаевна назначена исполняющей обязанности заместителя хокима города Ташкента — начальника управления по вопросам семьи и женщин. С 2018 года она возглавляла Моноцентр по оказанию услуг незанятому населению «Ишга мархамат». Ахмедова Марьям Халилаевна заняла должность заместителя председателя Совета министров Каракалпакстана — главы Комитета по делам семьи и женщин Каракалпакстана. Ранее она занимала должность заместителя министра по поддержки махалли и семьи Каракалпакстана. Таджибаева Наргиза Келдибековна назначена заместителем хокима Сырдарьинской области — начальником по вопросам семьи и женщин. До назначения она работала первым заместителем начальника областного управления по поддержке махалли и семьи. Карамова Комила Зайдуллаевна заняла должность заместителя хокима Кашкадарьинской области — начальника управления по вопросам семьи и женщин. Ранее она работала первым заместителем начальника областного управления по поддержке махалли и семьи и советником хокима по вопросам женщин. Миргазиева Зухра Тураевна назначена заместителем хокима Ташкентской области — начальником управления по вопросам семьи и женщин. До этого она работала замхокима по молодежной политике, социальному развитию и вопросам духовного просвещения. Хидирова Зулхумор Абдирашидовна заняла должность заместителя хокима Сурхандарьинской области — начальника управления по вопросам семьи и женщин. Ранее она работала замначальника управления по поддержке махалли и семьи по повышению общественно-политической активности женщин. Курбанбаева Гулсара Ахмедовна назначена заместителем хокима Хорезмской области — начальником по вопросам семьи и женщин. До назначения она работала первым замначальника управления по поддержке махалли и семьи. Абдуллаева Гулнорахон Маърифжоновна заняла должность заместителя хокима Андижанской области — начальника управления по вопросам семьи и женщин. Ранее она работала заместителем председателя Андижанского областного объединения профсоюзов. Мамадиярова Малика Таджиевна назначена заместителем хокима Навоийской области — начальником управления по вопросам семьи и женщин. До назначения она работала первым заместителем начальника управления по поддержке махалли и семьи — советником хокима по делам женщин. Мухтарова Назира Абдусаторовна заняла должность заместителя хокима Джизакской области — начальника управления по вопросам семьи и женщин. До назначения она работала замхокима — начальником управления по поддержке махалли и семьи. Ибрагимова Фируза Баходирхановна назначена исполняющей обязанности заместителя хокима Бухарской области — начальника управления по делам семьи и женщин. Ранее она работала первым заместителем начальника областного управления по поддержке махалли и семьи. Якубова Динора Исаковна назначена исполняющей обязанности заместителя хокима Наманганской области — начальника управления по делам семьи и женщин. До назначения она работала директором областного моноцентра «Ишга мархамат». Кавланова Камила Анваровна заняла должность заместителя хокима Ферганской области — начальника управления по делам семьи и женщин. Ранее она работала первым заместителем начальника отдела по поддержке махалли и семьи — советником хокима Ташлакского района. Рахманова Зебинисо Пулатовна назначена исполняющей обязанности заместителя хокима Самаркандской области — начальника управления по делам семьи и женщин. До назначения она работала проректором по делам молодежи и духовному просвещению в Самаркандском государственном университете.","['Еще раз убеждаюсь, кто рвется к власти. С некоторыми из них знакома лично.', 'Умарова Нодира Нигматуллаевна КРАСИВАЯ ЖЕНЩИНА', 'Надвигается матриархат. У Мирзиеева вроде дочки, вот он и готовит передачу власти.', 'Возродили десятками лет отработанную систему государственного управления прекрасной половиной Нас.']","[0.49715626, 0.50284374]",1,2,Deputy Hokims - heads of family and women &apos; s affairs offices - have been appointed throughout the,"I'm seeing who's coming to power, some of them I know in person. 'Umarova Nodir Nigmatulaevna, who is a woman, 'Matriarchat is coming. Mirzieev's daughter is like his daughter, and he's preparing for the transfer of power.' 'Resurrect ten years of good governance for a beautiful half of us.']"
11,Назначен новый заместитель министра здравоохранения,2,https://uznews.uz/posts/54088," Фазилкаримов Отабек Рустамович назначен заместителем министра здравоохранения, сообщает Telegram-канал «Нигох», близкий к Администрации президента. Ранее с ноября 2020 года Отабек Фазилкаримов занимал должность главы Департамента бюджетной политики в сфере здравоохранения и спорта в Министерстве финансов. ","['Я уже сейчас вижу его базарную страховую медицину, в которой ради денег давно забыли о здоровье человека, которым торгуют как семечками на базаре.', 'Там где работает не специалисты или те кто не росли  этом сфере та сфера обречён в крах']","[0.9970664, 0.0029336682]",0,2,New Deputy Minister of Health appointed,"['I've already seen his market-based insurance medicine, in which for money they've long forgotten the health of a man who's been traded like seed at a bazaar.' 'Where there are no professionals working or those who have not grown up that sphere is doomed to collapse.']"
12,Назначен глава УКД ОВД Самарканда и начальники ОВД трёх районов региона,0,https://uznews.uz/posts/54078,Соответствующим приказом министра внутренних дел Узбекистана на должность начальника УКД ОВД по городу Самарканду назначен полковник Ибрагимов Исматжон Негматович . Об этом сообщает пресс-служба УВД Самаркандской области. Подполковник Рахматов Баходир Эсиргапович назначен на должность начальника ОВД Нарпайского района. Пост начальника ОВД Самаркандского района занял подполковник Рахматов Анваржон Аминович. Начальником ОВД Акдарьинского района стал подполковник Валиев Аброр Хамзаевич.,[],"[0.0, 0.0]",0,2,Appointed Head of the Department of Internal Affairs of Samarkand and Chiefs of the Department of Internal Affairs of the three regions of the region,[]
13,Назначен глава Следственного управления при ГУВД Ташкента,2,https://uznews.uz/posts/54054,Приказом министра внутренних дел полковник Абдуразаков Абдувосит Абдулхаевич назначен заместителем начальника главного управления внутренних дел Ташкента — начальником Следственного управления при ГУВД. Об этом сообщает пресс-служба МВД. Ранее он возглавлял управление по координации деятельности органов внутренних дел Учтепинского района столицы. ,"['В разрезе республики данная инфа что-нибудь определяет?!', 'Конечно определяет. Народу дан ориентир, к кому теперь надо стучаться с челобитной и мешком денег.']","[0.989164, 0.010835925]",0,1,Appointed Head of the Investigation Department of the Tashkent Department of Internal Affairs,"'In the Republic, does the information determine anything?' 'Of course it does. 'The people are given a point of reference, to whom do they now have to knock with a bag of money and a pubic bag.']"
14,Назначены заместители министра по поддержке махалли и председателя Госкомитета по делам семьи и женщин,2,https://uznews.uz/posts/54049," Турдиев Содикжон назначен первым заместителем министра по поддержке махалли и старшего поколения, пишет УзА. До назначения с февраля 2020 года он занимал должность заместителя министра по поддержке махалли и семьи.  Абдулла Турсунов , работавший ответственным сотрудником в Администрации президента, назначен заместителем министра. Мухтар Мухитдинов , бывший заместитель хокима Ташкента, также назначен на должность заместителя министра. Также назначены заместители председателя Государственного комитета по делам семьи и женщин. Озода Парпибаева заняла должность первого заместителя, Раъно Турдибоева и Нодира Эгамбердиева – заместителей председателя комитета.","['Главный выступил и женщин сразу стали назначать на руководящие должности.', 'Подкаблучник?😉🤭']","[0.5336269, 0.4663731]",1,4,Vice-Ministers for Mahalli Support and Chairperson of the State Committee for Family and Women Affairs have been appointed,"['The chief speaker and the women immediately began to be appointed to leadership positions.', 'The pod?']"
15,Назначена и.о. заместителя хокима Самаркандской области,0,https://uznews.uz/posts/54046,"В соответствии с решением хокима области, Рахманова Зебинисо Пулатовна назначена исполняющей обязанности заместителя хокима области – начальника управления по делам семьи и женщин. До назначения Зебинисо Рахманова работала проректором по делам молодежи и духовному просвещению в Самаркандском государственном университете. ",[],"[0.0, 0.0]",0,2,Appointed by the Acting Deputy Hokim of Samarkand,[]
16,В академическом лицее при УМЭД назначена новый директор,2,https://uznews.uz/posts/54040,"Ойдинхон Маннопова является выпускником Дипломатической академии Министерства иностранных дел РФ, кандидат политических наук. О. Маннопова – опытный дипломат, работает в системе Министерства иностранных дел с 1998 года. В разные годы она работала дипломатом и консулом в посольствах Узбекистана в России (2007-2011 гг., 2014-2015 гг.) и Казахстана (2018-2022 гг.), говорится в сообщении МИД. ","['Красивая...но и ""штукатурка"" правильная)', 'красивая женщина. либо очень фотогеничная.']","[0.9731635, 0.026836531]",0,1,A new director has been appointed at the WIDE academic lycée,"['Beautiful... but ""stucature"" is the right thing to do], 'beautiful woman, or very photogenic.']"
17,Назначен первый замхокима Хорезмской области,0,https://uznews.uz/posts/54021,"Первым заместителем хокима Хорезмской области по вопросам инвестиций, инноваций, поддержки приватизированных предприятий, развития свободных экономических и малых промышленных зон назначен Исмаилов Шерзод Бекберганович. Об этом сообщает пресс-служба администрации региона. До своего назначения Ш. Исмаилов занимал должность советника по торгово-экономическим вопросам в посольстве Узбекистана в Индонезии. ",[],"[0.0, 0.0]",0,1,Nominated the first Zamkhokima of Khorezm,[]
18,Назначен министр внутренних дел Республики Каракалпакстан,0,https://uznews.uz/posts/54018,"Приказом министра внутренних дел на должность главы МВД Республики Каракалпакстан назначен полковник Орынбаев Аманбай Тлеубаевич. Об этом сообщает пресс-служба МВД. На данном посту он сменил Айтбая Темирханова, возглавлявшего министерство с 2016 года. До назначения А. Орынбаев работал начальником Службы пробации Департамента общественной безопасности МВД. ",[],"[0.0, 0.0]",0,1,Minister of the Interior of the Republic of Karakalpakstan appointed,[]
19,Назначены заместители министра развития спорта,1,https://uznews.uz/posts/53917,"О назначении заместителей министра развития спорта говорится в постановлении, подписанном главой государства 2 марта текущего года. На должность заместителя министра развития спорта назначены:  - Аслонов Абдулло Убайдуллоевич, ранее занимавший пост заместителя министра туризма и спорта; - Махмудов Шахрилло Шарипович , работавший заместителем министра туризма и спорта; - Исмаилов Мурад Валижонович. Напомним , что ранее Министерство туризма и спорта было разделено на два ведомства: Министерство туризма и культурного наследия и Министерство развития спорта.","['Ну наконец-то хоть один заместитель ,который имеет непосредственное отношение к спорту,Шахрилло Шарипович 👏👏👏а не непонятно какие "" туристы""']","[0.8419469, 0.15805307]",0,2,Vice-Ministers of Sports Development appointed,"['Well, at last, one deputy who has a direct connection to sports, Shahrillo Sharipović ♪ doesn't understand who are the tourists']"
20,Кандидатура Зулайхо Махкамовой утверждена на должность вице-премьера и главы нового комитета,3,https://uznews.uz/posts/53868,На очередном заседании Законодательной палаты Олий Мажлиса 1 марта кандидатура Зулайхо Махкамовой была утверждена на должность заместителя премьер-министра – председателя вновь образованного комитета по делам женщин и семьи. Об этом сообщает Telegram-канал «Нигох». С марта 2020 года по настоящее время Зулайхо Махкамова возглавляла администрацию Туракурганского района Наманганской области. ,"['Ничего не меняется, только названия, ну и языки тоже, чтобы отделять своих, прикормленных, от всех остальных, Нас.', 'В РФ подобным коммитетом руководит женщина у которой, если не запамятовал, семь детей. И когда она только успевает заниматься государственными делами.\r\nМуж ""домохозяйка"" наверное))', 'Нет, он ""домонаседка"" 😒']","[0.7202737, 0.27972642]",0,2,Candidature of Zulayho Mahkamova as Vice-Premier and Head of the new Committee,"['Nothing changes, just names, and tongues, too, to separate her, fed, from everyone else, us.' 'In the Russian Federation, the same command is run by a woman with seven children, if not forgotten. And when she's only able to do public affairs."
21,В Узбекистане ожидается назначение нового главы МЧС,3,https://uznews.uz/posts/53867,"На очередном заседании Законодательной палаты Олий Мажлиса во вторник была утверждена кандидатура министра по чрезвычайным ситуациям. Об этом сообщает Тelegram-канал «Нигох», близкий к Администрации президента. Главой МЧС Узбекистана должен стать Абдулла Хамидуллаевич Кулдашев , первый заместитель министра по чрезвычайным ситуациям. Напомним, с апреля 2018 года по настоящее время временно исполняющим обязанности министра был Турсинхан Худайбергенов. ","['Вот об этом, как раз, да да, вот именно, вот об этом, и обо всем другом, таком, мне и пофиг) Вот на моих помойках опять кошек поуменьшилось, меньше стало конкуренции, между людьми помойщиками и кошками. Пытаюсь понять, это счастье или беда ?', 'Маски вроде отменили.', 'Медициеские, -да, отменили!\nНо ,маски ""личности"",- нет!']","[0.9922321, 0.0077678785]",0,1,"In Uzbekistan, a new chapter of the MES is expected to be appointed","'That's it, yeah, that's it, that's it, and that's all, and that's all, and I don't care about it.' There's cats in my dumpsters again, there's less competition, there's less competition between the washers and the cats. I'm trying to figure out whether it's happiness or trouble.' 'Maskis seem to have been canceled.' 'Medice, yes, it's canceled!"
22,Назначены новые руководители подразделений МИД Узбекистана,6,https://uznews.uz/posts/53841,"Сегодня, 28 февраля, под председательством министра иностранных дел Абдулазиза Камилова состоялось расширенное заседание коллегии МИД, в ходе которого были представлены вновь назначенные руководители подразделений министерства, сообщает пресс-служба внешнеполитического ведомства. В частности, бывший посол Узбекистана в Объединенных Арабских Эмиратах Ибрагимов Бахтиёр Баходырович назначен директором Департамента экономической дипломатии. Бывший глава отдела Управления государственного протокола Мирзарахимов Сарвар Хамитжанович стал и.о. начальника Управления государственного протокола. Пост и.о. начальника Управления хозяйственного обеспечения занял Акрамов Умид Шухратович. Ранее он работал главным специалистом Финансово-экономического управления МИД.","['А Бахтияра Ибрагимова знаю лично, вместе на одном потоке в нархозе учились. Вместе в МИДе работали, правда, в разных управлениях, редко общались и судьбы у нас разные. От из ""ок суяк"" - папа был министром МВД УзССР. Но парень хороший, не стукач, не лицемер.', 'Зарплата представителя Узбекистана в ООН, Нью-Йорк - 3 тыс. долл., генконсула в США - 2,5 тыс. долл. Остальные послы в Европе и Азии получают меньше. Читая такие суммы, мне становилось смешно. Обычная уборщица в Швейцарии при 100% нагрузке получает (в пересчете с франков) более 4 тыс. долл., водитель автобуса - от 6 тыс., учитель - от 7 тыс., полицейский - от 4,5 тыс. в месяц...', 'Хорошая работа в МИДе. Летают за государственный счет по всему миру, таможню не проходят, салон 1 класса))', 'работа в самом МИДе ничуть не лучше и не хуже любой другой госработы (со своими переработками) и с таким же средним уровнем ЗП. Любая частная структура со средним оборотом может предоставить условия много лучше, не говоря о ТНК. летают экономклассом (исключение послы и приравненные к ним) и не так чтобы часто, я бы сказал редко. многие сильно много преувеличивают плюшки от работы в миде... это совсем не так. зачастую это скорее детки влиятельных и богатых получивших хорошее образование и которые не смотрят на деньги... в мид совсем не за деньгами', 'Значит я имею ошибочное мнение о работе МИД Узбекистана))']","[0.9007263, 0.09927365]",0,1,New heads of the Ministry of Foreign Affairs of Uzbekistan have been appointed,"I know Bakhtiyara Ibrahimov personally, along with one stream in Narkhoz, who worked together in the Ministry of Foreign Affairs, although there were very few contacts and fates in different offices. From the Suyak, the Pope was the Minister of the Ministry of Internal Affairs, UzsSR. But the guy was a good, not a snitch, not a hypocrite. ', 'Zarping the representative of Uzbekistan to the United Nations, New York - $3,000, the Genconsul in the United States - the remaining ambassadors in Europe and Asia receive less. 'The rest of the ambassadors in Europe and Asia receive less. 'Reading these amounts makes me laugh. The regular cleaning lady in Switzerland gets at 100% of the load (in terms of francs) more than $4,000, the bus driver - at $6,000, the trainer - at $7,000, the police - at $4,500 per month...', 'Good job in the Ministry. 'The public account around the world, they don't go through, the class 1 compartment.' 'The job in the Ministry itself can be better to deliver the average of work at the same level"
